budget	achieved_per_cell_depth	median_pooled_depth	n_tested	n_truth_licensed	n_recovered	recovery_frac	n_false_recovery	n_feasible_0.005	n_feasible_0.01	n_feasible_0.02	n_feasible_0.05	n_feasible_0.1
0.03	1.015	36.0	1035	189	2	0.011	1	0	0	0	0	0
0.05	1.025	59.0	1035	189	7	0.037	5	0	0	0	0	0
0.08	1.041	96.0	1035	189	4	0.021	8	0	0	0	0	0
0.13	1.067	156.0	1035	189	6	0.032	13	0	0	0	0	0
0.2	1.104	240.0	1035	189	8	0.042	18	0	0	120	120	120
0.3	1.159	360.0	1035	189	11	0.058	11	0	0	929	929	929
0.5	1.273	595.0	1035	189	14	0.074	28	0	0	1028	1028	1028
full	18.153	28424.5	1035	189	189	1.0	0	1035	1035	1035	1035	1035
