depth,known_vaf,n,median_called,sensitivity,precision,frac_within_3x,median_abs_relerr,null_fpr
100,0.5,18200,0.5,1.0,0.9855951478392722,1.0,0.0,0.014615384615384615
100,0.2,18200,0.2,1.0,0.9855951478392722,1.0,0.0,0.014615384615384615
100,0.1,18200,0.1,1.0,0.9855951478392722,1.0,0.0,0.014615384615384615
100,0.07,18200,0.07,1.0,0.9855951478392722,1.0,0.0,0.014615384615384615
100,0.05,18200,0.05,1.0,0.9855951478392722,1.0,0.0,0.014615384615384615
100,0.03,18200,0.03,0.9891758241758242,0.9854398160818874,0.9999450549450549,0.0,0.014615384615384615
100,0.02,18200,0.02,0.8417582417582418,0.98293340177082,0.9994505494505495,0.0,0.014615384615384615
100,0.01,18200,0.01,0.10445054945054945,0.8772496538994001,0.9931318681318682,0.0,0.014615384615384615
100,0.005,18200,0.0,0.01543956043956044,0.5137111517367459,0.14862637362637363,1.0,0.014615384615384615
100,0.001,18200,0.0,0.013241758241758241,0.47534516765285995,0.0,1.0,0.014615384615384615
250,0.5,18200,0.5,1.0,0.9857019064124783,1.0,0.0,0.014505494505494506
250,0.2,18200,0.2,1.0,0.9857019064124783,1.0,0.0,0.014505494505494506
250,0.1,18200,0.1,1.0,0.9857019064124783,1.0,0.0,0.014505494505494506
250,0.07,18200,0.072,1.0,0.9857019064124783,1.0,0.028571428571428397,0.014505494505494506
250,0.05,18200,0.048,1.0,0.9857019064124783,1.0,0.040000000000000036,0.014505494505494506
250,0.03,18200,0.032,0.9998901098901098,0.9857003574910628,1.0,0.06666666666666674,0.014505494505494506
250,0.02,18200,0.02,0.9946703296703296,0.985626395165242,0.9998901098901098,0.0,0.014505494505494506
250,0.01,18200,0.008,0.6304395604395604,0.9775089453058443,0.9964835164835165,0.2,0.014505494505494506
250,0.005,18200,0.004,0.09412087912087912,0.866464339908953,0.9496153846153846,0.2,0.014505494505494506
250,0.001,18200,0.0,0.01697802197802198,0.5392670157068062,0.0,1.0,0.014505494505494506
500,0.5,18200,0.5,1.0,0.9781790820165538,1.0,0.0,0.022307692307692306
500,0.2,18200,0.2,1.0,0.9781790820165538,1.0,0.0,0.022307692307692306
500,0.1,18200,0.1,1.0,0.9781790820165538,1.0,0.0,0.022307692307692306
500,0.07,18200,0.07,1.0,0.9781790820165538,1.0,0.028571428571428397,0.022307692307692306
500,0.05,18200,0.052,1.0,0.9781790820165538,1.0,0.0399999999999999,0.022307692307692306
500,0.03,18200,0.032,1.0,0.9781790820165538,1.0,0.06666666666666674,0.022307692307692306
500,0.02,18200,0.022,0.9996703296703296,0.9781720430107527,1.0,0.09999999999999991,0.022307692307692306
500,0.01,18200,0.012,0.9712087912087912,0.9775467315562438,0.9971428571428571,0.2,0.022307692307692306
500,0.005,18200,0.006,0.5624725274725275,0.9618528610354223,0.974010989010989,0.2,0.022307692307692306
500,0.001,18200,0.002,0.027252747252747254,0.549889135254989,0.2143956043956044,1.0,0.022307692307692306
2000,0.5,18200,0.5005,1.0,0.9719626168224299,1.0,0.0010000000000000009,0.028846153846153848
2000,0.2,18200,0.201,1.0,0.9719626168224299,1.0,0.0050000000000000044,0.028846153846153848
2000,0.1,18200,0.1015,1.0,0.9719626168224299,1.0,0.015000000000000013,0.028846153846153848
2000,0.07,18200,0.0715,1.0,0.9719626168224299,1.0,0.02142857142857125,0.028846153846153848
2000,0.05,18200,0.0515,1.0,0.9719626168224299,1.0,0.029999999999999888,0.028846153846153848
2000,0.03,18200,0.0315,1.0,0.9719626168224299,1.0,0.050000000000000044,0.028846153846153848
2000,0.02,18200,0.0215,1.0,0.9719626168224299,1.0,0.07499999999999989,0.028846153846153848
2000,0.01,18200,0.0115,0.999065934065934,0.9719371391917896,0.9974725274725275,0.14999999999999997,0.028846153846153848
2000,0.005,18200,0.0065,0.9693406593406594,0.9711014476798591,0.9850549450549451,0.29999999999999993,0.028846153846153848
2000,0.001,18200,0.0025,0.33895604395604395,0.9215715566178667,0.5797252747252747,1.5,0.028846153846153848
10000,0.5,18200,0.5006,1.0,0.9659271839507483,1.0,0.0012000000000000899,0.03527472527472528
10000,0.2,18200,0.2014,1.0,0.9659271839507483,1.0,0.006999999999999923,0.03527472527472528
10000,0.1,18200,0.1017,1.0,0.9659271839507483,1.0,0.016999999999999932,0.03527472527472528
10000,0.07,18200,0.0718,1.0,0.9659271839507483,1.0,0.025714285714285655,0.03527472527472528
10000,0.05,18200,0.0518,1.0,0.9659271839507483,1.0,0.03599999999999992,0.03527472527472528
10000,0.03,18200,0.0319,1.0,0.9659271839507483,1.0,0.0633333333333333,0.03527472527472528
10000,0.02,18200,0.0219,1.0,0.9659271839507483,1.0,0.09499999999999995,0.03527472527472528
10000,0.01,18200,0.0119,1.0,0.9659271839507483,0.9993406593406593,0.19000000000000006,0.03527472527472528
10000,0.005,18200,0.0069,0.9998901098901098,0.9659235668789808,0.9887362637362638,0.37999999999999995,0.03527472527472528
10000,0.001,18200,0.00295,0.6993956043956044,0.9519856405654027,0.5136263736263736,1.9499999999999997,0.03527472527472528
